name,isin,type,dtcreated
Borussia Dortmund GmbH & Co. KGaA,DE0005493092,0,2019-01-02 09:56:13
Borussia Dortmund GmbH & Co. KGaA,DE0005493092,0,2019-01-02 09:56:13
Petro Welt Technologies AG,AT0000A00Y78,0,2019-01-02 14:56:33
Petro Welt Technologies AG,AT0000A00Y78,0,2019-01-02 14:56:33
Petro Welt Technologies AG (AT),AT0000A00Y78,0,2019-01-02 15:42:27
Petro Welt Technologies AG (AT),AT0000A00Y78,0,2019-01-02 15:42:27
VAPIANO SE,DE000A0WMNK9,0,2019-01-02 20:33:48
VAPIANO SE,DE000A0WMNK9,0,2019-01-02 20:33:48
nebag ag,CH0005059438,0,2019-01-03 05:00:11
CANCOM Managed Services GmbH,noisin820700,0,2019-01-03 12:06:14
DEMIRE Deutsche Mittelstand Real Estate AG,DE000A0XFSF0,0,2019-01-03 13:16:51
DEMIRE Deutsche Mittelstand Real Estate AG,DE000A0XFSF0,0,2019-01-03 13:16:51
SPARTA AG,DE000A0NK3W4,0,2019-01-03 17:19:05
VAPIANO SE,DE000A0WMNK9,0,2019-01-03 17:44:59
VAPIANO SE,DE000A0WMNK9,0,2019-01-03 17:44:59
Jungfraubahn Holding AG,CH0017875789,0,2019-01-04 07:00:22
Jungfraubahn Holding AG,CH0017875789,0,2019-01-04 07:00:22
VALORA EFFEKTEN HANDEL AG,DE0007600108,0,2019-01-04 13:11:56
Airopack Technology Group AG,CH0242606942,0,2019-01-07 06:47:12
adesso SE,DE000A0Z23Q5,0,2019-01-07 10:16:19
adesso SE,DE000A0Z23Q5,0,2019-01-07 10:16:19
ALBIS Leasing AG,DE0006569403,0,2019-01-07 12:42:41
tmc Content Group AG,CH0016458363,0,2019-01-07 16:43:16
EASY SOFTWARE AG,DE000A2YN991,0,2019-01-07 17:43:20
Airbus SE,NL0000235190,0,2019-01-08 17:00:02
IMMOFINANZ AG,AT0000A21KS2,0,2019-01-08 17:49:26
IMMOFINANZ AG,AT0000A21KS2,0,2019-01-08 17:49:26
Orascom Development Holding AG,CH0038285679,0,2019-01-09 07:00:11
Orascom Development Holding AG,CH0038285679,0,2019-01-09 07:00:11
INTERSHOP COMMUNICATIONS AG,DE000A0EPUH1,0,2019-01-09 09:58:43
INTERSHOP COMMUNICATIONS AG,DE000A0EPUH1,0,2019-01-09 09:58:43
RHÖN-KLINIKUM AG,DE0007042301,0,2019-01-10 09:00:29
RHÖN-KLINIKUM AG,DE0007042301,0,2019-01-10 09:00:29
LANXESS Aktiengesellschaft,DE0005470405,0,2019-01-10 11:35:27
LANXESS Aktiengesellschaft,DE0005470405,0,2019-01-10 11:35:27
SPORTTOTAL AG,DE000A1EMG56,0,2019-01-10 13:57:52
SPORTTOTAL AG,DE000A1EMG56,0,2019-01-10 13:57:52
Bijou Brigitte modische Accessoires AG,DE0005229504,0,2019-01-10 14:33:39
Steinhoff International Holdings N.V.,NL0011375019,0,2019-01-10 20:52:26
AKASOL AG,DE000A2JNWZ9,0,2019-01-10 20:55:25
AKASOL AG,DE000A2JNWZ9,0,2019-01-10 20:55:25
KUKA Aktiengesellschaft,DE0006204407,0,2019-01-10 21:30:26
KUKA Aktiengesellschaft,DE0006204407,0,2019-01-10 21:30:26
Airopack Technology Group AG,CH0242606942,0,2019-01-11 06:49:29
Fair Value REIT-AG,DE000A0MW975,0,2019-01-11 11:15:27
Fair Value REIT-AG,DE000A0MW975,0,2019-01-11 11:15:27
ZEAL Network SE,DE000ZEAL241,0,2019-01-11 11:35:46
LOTTO24 AG,DE000LTT0243,0,2019-01-11 11:48:03
LOTTO24 AG,DE000LTT0243,0,2019-01-11 11:48:03
Nemetschek SE,DE0006452907,0,2019-01-11 13:00:42
Nemetschek SE,DE0006452907,0,2019-01-11 13:00:42
PROMAXIMA IMMOBILIEN AG,CH0306782977,0,2019-01-11 17:30:12
Energiedienst Holding AG,CH0039651184,0,2019-01-14 06:24:42
Continental AG,DE0005439004,0,2019-01-14 08:00:26
Continental AG,DE0005439004,0,2019-01-14 08:00:26
alstria office REIT-AG,DE000A0LD2U1,0,2019-01-14 10:07:30
alstria office REIT-AG,DE000A0LD2U1,0,2019-01-14 10:07:30
IFA Hotel & Touristik AG,DE0006131204,0,2019-01-14 11:01:39
GERRY WEBER INTERNATIONAL AG,DE000A255G36,0,2019-01-14 12:24:43
GERRY WEBER INTERNATIONAL AG,DE000A255G36,0,2019-01-14 12:24:43
Diebold Nixdorf Aktiengesellschaft,DE000A0CAYB2,0,2019-01-14 12:41:55
Diebold Nixdorf Aktiengesellschaft,DE000A0CAYB2,0,2019-01-14 12:41:55
"Diebold Nixdorf, Incorporated",US2536511031,0,2019-01-14 12:42:00
Carl Zeiss Meditec AG,DE0005313704,0,2019-01-14 15:47:58
Carl Zeiss Meditec AG,DE0005313704,0,2019-01-14 15:47:58
PREOS Real Estate AG,DE000A2LQ850,0,2019-01-14 16:31:56
PREOS Real Estate AG,DE000A2LQ850,0,2019-01-14 16:31:56
Deutsche Beteiligungs AG,DE000A1TNUT7,0,2019-01-14 17:26:55
