name,isin,type,dtcreated
sino AG,DE0005765507,0,2018-02-07 14:49:42
Gesco AG,DE000A1K0201,0,2018-02-07 14:33:17
Gesco AG,DE000A1K0201,0,2018-02-07 14:33:17
Ahlers AG,DE0005009740,0,2018-02-07 14:29:10
Ahlers AG,DE0005009740,0,2018-02-07 14:29:10
LION E-Mobility AG,CH0132594711,0,2018-02-07 11:20:21
LION E-Mobility AG,CH0132594711,0,2018-02-07 11:20:21
niiio finance group AG,DE000A2G8332,0,2018-02-07 09:36:01
Bitcoin Group SE,DE000A1TNV91,0,2018-02-07 07:44:07
Bitcoin Group SE,DE000A1TNV91,0,2018-02-07 07:44:07
windeln.de SE,DE000WNDL193,0,2018-02-06 21:11:07
windeln.de SE,DE000WNDL193,0,2018-02-06 21:11:07
Corestate Capital Holding S.A.,LU1296758029,0,2018-02-06 20:22:36
Corestate Capital Holding S.A.,LU1296758029,0,2018-02-06 20:22:36
Holmes Investment Properties PLC,GB00B61DTR94,0,2018-02-06 18:32:07
Holmes Investment Properties PLC,GB00B61DTR94,0,2018-02-06 17:40:06
Linde AG,DE0006483001,0,2018-02-06 14:57:25
Linde AG,DE0006483001,0,2018-02-06 14:57:25
Delticom AG,DE0005146807,0,2018-02-06 12:07:10
Delticom AG,DE0005146807,0,2018-02-06 12:07:10
windeln.de SE,DE000WNDL193,0,2018-02-06 08:51:18
windeln.de SE,DE000WNDL193,0,2018-02-06 08:51:18
Gerresheimer AG,DE000A0LD6E6,0,2018-02-05 19:54:13
Gerresheimer AG,DE000A0LD6E6,0,2018-02-05 19:54:13
VEDES AG,DE000A2GSTP1,0,2018-02-05 17:40:08
Geratherm Medical AG,DE0005495626,0,2018-02-05 17:36:57
Geratherm Medical AG,DE0005495626,0,2018-02-05 17:36:57
MyBucks S.A.,LU1404975507,0,2018-02-05 17:01:17
MyBucks S.A.,LU1404975507,0,2018-02-05 17:01:17
InCity Immobilien AG,DE000A0HNF96,0,2018-02-05 15:45:43
InCity Immobilien AG,DE000A0HNF96,0,2018-02-05 15:45:43
Elmos Semiconductor AG,DE0005677108,0,2018-02-05 15:34:01
Elmos Semiconductor AG,DE0005677108,0,2018-02-05 15:34:01
IVU Traffic Technologies AG,DE0007448508,0,2018-02-05 11:00:55
IVU Traffic Technologies AG,DE0007448508,0,2018-02-05 11:00:55
SQS Software Quality Systems AG,DE0005493514,0,2018-02-05 07:59:47
Energiedienst Holding AG,CH0039651184,0,2018-02-05 06:34:03
PEH Wertpapier AG,DE0006201403,0,2018-02-05 06:17:01
De Raj Group AG,DE000A2GSWR1,0,2018-02-02 18:33:32
De Raj Group AG,DE000A2GSWR1,0,2018-02-02 18:33:32
mybet Holding SE,DE000A2LQ009,0,2018-02-02 17:23:21
mybet Holding SE,DE000A2LQ009,0,2018-02-02 17:23:21
MEDIQON Group AG,DE0006618309,0,2018-02-02 15:33:40
Steinhoff International Holdings N.V.,NL0011375019,0,2018-02-02 12:55:02
Dürkopp Adler AG (Konzern),DE0006299001,0,2018-02-02 09:57:36
ProCredit Holding AG & Co. KGaA,DE0006223407,0,2018-02-02 07:49:56
ProCredit Holding AG & Co. KGaA,DE0006223407,0,2018-02-02 07:49:56
Goldbach Group AG,CH0004870942,0,2018-02-02 07:20:53
Goldbach Group AG,CH0004870942,0,2018-02-02 07:20:53
The NAGA Group AG,DE000A161NR7,0,2018-02-01 22:01:52
The NAGA Group AG,DE000A161NR7,0,2018-02-01 19:44:47
Singulus Technologies AG,DE000A1681X5,0,2018-01-02 13:40:23
Singulus Technologies AG,DE000A1681X5,0,2018-01-02 13:40:23
WESTGRUND Aktiengesellschaft,DE000A0HN4T3,0,2018-01-02 18:25:05
WESTGRUND Aktiengesellschaft,DE000A0HN4T3,0,2018-01-02 18:25:05
Northern Bitcoin AG,DE000A0SMU87,0,2018-01-02 19:41:13
Maier + Partner AG,DE000A1MMCY2,0,2018-01-02 21:50:10
nebag ag,CH0005059438,0,2018-01-03 05:00:14
Northern Bitcoin AG,DE000A0SMU87,0,2018-01-03 08:19:52
niiio finance group AG,DE000A2G8332,0,2018-01-03 11:36:35
Schulte-Schlagbaum AG,DE0007190001,0,2018-01-03 12:16:45
Senvion S.A.,LU1377527517,0,2018-01-03 15:38:33
Senvion S.A.,LU1377527517,0,2018-01-03 15:38:33
VALORA EFFEKTEN HANDEL AG,DE0007600108,0,2018-01-03 16:15:26
SÜSS MicroTec SE,DE000A1K0235,0,2018-01-03 17:55:54
SÜSS MicroTec SE,DE000A1K0235,0,2018-01-03 17:55:54
The NAGA Group AG,DE000A161NR7,0,2018-01-03 18:13:13
Hawesko Holding AG,DE0006042708,0,2018-01-04 14:23:51
Hawesko Holding AG,DE0006042708,0,2018-01-04 14:23:51
Steinhoff International Holdings N.V.,NL0011375019,0,2018-01-04 16:34:11
Regenbogen AG,DE0008009564,0,2018-01-04 17:27:59
WESTGRUND Aktiengesellschaft,DE000A0HN4T3,0,2018-01-04 17:43:12
WESTGRUND Aktiengesellschaft,DE000A0HN4T3,0,2018-01-04 17:43:12
Eifelhöhen-Klinik AG,DE0005653604,0,2018-01-04 20:52:11
Jungfraubahn Holding AG,CH0017875789,0,2018-01-05 07:00:15
Jungfraubahn Holding AG,CH0017875789,0,2018-01-05 07:00:15
Deutsche Bank AG,DE0005140008,0,2018-01-05 16:04:44
Deutsche Bank AG,DE0005140008,0,2018-01-05 16:04:44
The Social Chain AG,DE000A1YC996,0,2018-01-05 16:25:32
Advanced Blockchain AG,DE000A0M93V6,0,2018-01-08 12:35:32
technotrans SE,DE000A0XYGA7,0,2018-01-08 16:03:32
technotrans SE,DE000A0XYGA7,0,2018-01-08 16:03:32
Beiersdorf Aktiengesellschaft,DE0005200000,0,2018-01-08 17:20:10
Beiersdorf Aktiengesellschaft,DE0005200000,0,2018-01-08 17:20:10
ALLGEIER SE,DE000A2GS633,0,2018-01-08 18:36:20
ALLGEIER SE,DE000A2GS633,0,2018-01-08 18:36:20
BAUER Aktiengesellschaft,DE0005168108,0,2018-01-08 20:34:22
BAUER Aktiengesellschaft,DE0005168108,0,2018-01-08 20:34:22
Bijou Brigitte modische Accessoires AG,DE0005229504,0,2018-01-09 09:46:02
mybet Holding SE,DE000A2LQ009,0,2018-01-09 13:36:55
mybet Holding SE,DE000A2LQ009,0,2018-01-09 13:36:55
Continental AG,DE0005439004,0,2018-01-09 18:23:10
Continental AG,DE0005439004,0,2018-01-09 18:23:10
NanoFocus AG,DE0005400667,0,2018-01-09 18:33:45
Philion SE,DE000A1X3WF3,0,2018-01-10 13:49:20
EASY SOFTWARE AG,DE000A2YN991,0,2018-01-10 16:12:06
EASY SOFTWARE AG,DE000A2YN991,0,2018-01-10 16:12:06
