name,isin,type,dtcreated
TAKKT AG,DE0007446007,0,2015-01-01 02:23:04
TAKKT AG,DE0007446007,0,2015-01-01 02:23:04
Caverion Oyj,FI4000062781,0,2015-01-02 08:00:00
Topdanmark A/S,DK0060477503,0,2015-01-02 10:47:08
Topdanmark A/S,DK0060477503,0,2015-01-02 10:47:59
Topdanmark A/S,DK0060477503,0,2015-01-02 11:35:28
primion Technology AG,DE0005117006,0,2015-01-02 12:55:00
Deutsche Cannabis AG,DE000A0BVVK7,0,2015-01-02 13:11:34
Trainers' House Oyj,FI0009008122,0,2015-01-02 14:00:00
Atlantic Petroleum P/F,FO000A0DN9X4,0,2015-01-02 17:27:27
Clere AG,DE000A2AA402,0,2015-01-02 20:31:46
Clere AG,DE000A2AA402,0,2015-01-02 20:31:46
Lundin Gold Inc.,CA5503711080,0,2015-01-02 22:01:00
Orascom Development Holding AG,CH0038285679,0,2015-01-05 07:00:08
Orascom Development Holding AG,CH0038285679,0,2015-01-05 07:00:08
Auriant Mining AB,SE0001337213,0,2015-01-05 07:45:00
Vostok New Ventures Ltd.,SE0005191475,0,2015-01-05 08:05:00
SimCorp A/S,DK0016026164,0,2015-01-05 08:38:00
Pandora A/S,DK0060252690,0,2015-01-05 08:42:37
BRFKredit a/s,DK0002100130,0,2015-01-05 09:09:01
Topdanmark A/S,DK0060477503,0,2015-01-05 10:01:06
Realkredit Danmark A/S,DK0002200435,0,2015-01-05 10:48:41
HKScan Oyj,FI0009006308,0,2015-01-05 11:00:00
Carl Zeiss Meditec AG,DE0005313704,0,2015-01-05 12:29:43
Carl Zeiss Meditec AG,DE0005313704,0,2015-01-05 12:29:43
Realkredit Danmark A/S,DK0002200435,0,2015-01-05 12:53:57
Totalkredit A/S,DK0004700580,0,2015-01-05 13:36:00
Nykredit Realkredit A/S,DK0002300573,0,2015-01-05 13:36:00
Nykredit Realkredit A/S,DK0002300573,0,2015-01-05 14:02:41
Totalkredit A/S,DK0004700580,0,2015-01-05 14:06:36
solarhybrid AG,DE000A0LR456,0,2015-01-05 15:20:05
Tivoli A/S,DK0010040500,0,2015-01-05 15:35:40
BRFKredit a/s,DK0002100130,0,2015-01-05 15:38:23
Topsil Semiconductor Materials A/S,DK0010271584,0,2015-01-05 15:59:55
Orava Asuntorahasto Oyj,FI4000068614,0,2015-01-05 16:30:00
Leclanché SA,CH0110303119,0,2015-01-05 16:35:48
Leclanché SA,CH0110303119,0,2015-01-05 16:35:48
Leclanché SA,CH0110303119,0,2015-01-05 16:35:48
Orava Asuntorahasto Oyj,FI4000068614,0,2015-01-05 17:30:00
Eckert & Ziegler Strahlen- und Medizintechnik AG,DE0005659700,0,2015-01-05 17:40:45
Eckert & Ziegler Strahlen- und Medizintechnik AG,DE0005659700,0,2015-01-05 17:40:45
Wild Bunch AG,DE000A2TSU21,0,2015-01-05 19:22:13
Kuros Biosciences AG,CH0011025217,0,2015-01-06 07:00:12
Kuros Biosciences AG,CH0011025217,0,2015-01-06 07:00:12
Kuros Biosciences AG,CH0011025217,0,2015-01-06 07:00:11
Kuros Biosciences AG,CH0011025217,0,2015-01-06 07:00:11
NASDAQ OMX Helsinki Oy,SE0001322157,0,2015-01-06 08:00:00
Daugavpils lokomotivju remonta rupnica,LV0000101061,0,2015-01-06 08:23:50
Lundin Petroleum AB,SE0000825820,0,2015-01-06 08:31:45
BioPorto  A/S,DK0011048619,0,2015-01-06 09:10:42
Beate Uhse Aktiengesellschaft,DE0007551400,0,2015-01-06 13:01:25
Beate Uhse Aktiengesellschaft,DE0007551400,0,2015-01-06 13:01:25
Zealand Pharma A/S,DK0060257814,0,2015-01-06 15:54:30
Vestas Wind Systems A/S,DK0010268606,0,2015-01-06 16:05:44
Icelandair Group hf.,IS0000013464,0,2015-01-06 17:57:11
Jungfraubahn Holding AG,CH0017875789,0,2015-01-07 07:00:09
Jungfraubahn Holding AG,CH0017875789,0,2015-01-07 07:00:09
HOCHDORF Holding AG,CH0024666528,0,2015-01-07 07:20:13
HOCHDORF Holding AG,CH0024666528,0,2015-01-07 07:20:13
Lundin Petroleum AB,SE0000825820,0,2015-01-07 08:00:19
Teleste,FI0009007728,0,2015-01-07 08:30:00
Ålandsbanken,FI0009001127,0,2015-01-07 11:00:00
Vitec Software Group AB,SE0000514630,0,2015-01-07 13:00:00
Orava Asuntorahasto Oyj,FI4000068614,0,2015-01-07 15:00:00
Lundin Petroleum AB,SE0000825820,0,2015-01-07 15:11:55
Clere AG,DE000A2AA402,0,2015-01-07 18:17:42
Clere AG,DE000A2AA402,0,2015-01-07 18:17:42
Cavotec SA,CH0136071542,0,2015-01-08 08:00:00
Lundin Gold Inc.,CA5503711080,0,2015-01-08 08:00:01
Olvi Oyj,FI0009900401,0,2015-01-08 08:03:07
Matas A/S,DK0060497295,0,2015-01-08 08:40:31
Realkredit Danmark A/S,DK0002200435,0,2015-01-08 09:23:55
Brivais vilnis,LV0000100824,0,2015-01-08 09:49:44
VEF Radiotehnika RRR,LV0000100972,0,2015-01-08 11:49:21
Arion banki hf.,IS0000021186,0,2015-01-08 14:03:44
Vestas Wind Systems A/S,DK0010268606,0,2015-01-08 16:41:48
Deutsche Wohnen SE,DE000A0HN5C6,0,2015-01-08 18:45:47
Deutsche Wohnen SE,DE000A0HN5C6,0,2015-01-08 18:45:47
Singulus Technologies AG,DE000A1681X5,0,2015-01-08 20:39:22
Singulus Technologies AG,DE000A1681X5,0,2015-01-08 20:39:22
Bijou Brigitte modische Accessoires AG,DE0005229504,0,2015-01-09 08:25:18
Stockmann Oyj Abp,FI0009000251,0,2015-01-09 10:00:00
Atria Oyj,FI0009006548,0,2015-01-09 10:30:00
SRV Yhtiöt Oyj,FI0009015309,0,2015-01-09 11:00:00
DFDS A/S,DK0010259027,0,2015-01-09 11:39:39
Atria Oyj,FI0009006548,0,2015-01-09 12:30:00
Tivoli A/S,DK0010040500,0,2015-01-09 13:27:13
