name,isin,type,dtcreated
United International Enterprises Ltd.,BSP951331318,0,2013-12-04 10:28:06
ARBB AG,CH0001430492,0,2013-11-01 07:00:10
Caverion Oyj,FI4000062781,0,2013-11-01 06:55:00
Fortum,FI0009007132,0,2013-11-01 07:00:01
Sponda Oyj,FI0009006829,0,2013-11-01 07:35:00
Sponda Oyj,FI0009006829,0,2013-11-01 07:40:00
Solteq Oyj,FI0009007991,0,2013-11-01 08:00:00
Ramirent Oyj,FI0009007066,0,2013-11-01 08:15:00
Valoe Oyj,FI0009006951,0,2013-11-01 08:20:00
mybet Holding SE,DE000A2LQ009,0,2013-11-01 08:23:07
mybet Holding SE,DE000A2LQ009,0,2013-11-01 08:23:07
IVG Immobilien AG,DE000A11QXV6,0,2013-11-01 09:52:33
IVG Immobilien AG,DE000A11QXV6,0,2013-11-01 09:52:33
Bilia AB,SE0000102295,0,2013-11-01 08:30:00
tmc Content Group AG,CH0016458363,0,2013-11-01 08:29:47
cBrain A/S,DK0060030286,0,2013-11-01 10:01:08
Aktia Pankki Oyj,FI4000058870,0,2013-11-01 10:00:00
Ixonos,FI0009008007,0,2013-11-01 10:30:00
Technopolis,FI0009006886,0,2013-11-01 10:30:00
North Media A/S,DK0010270347,0,2013-11-01 10:48:28
Outokumpu Oyj,FI0009002422,0,2013-11-01 11:05:00
Matas A/S,DK0060497295,0,2013-11-01 12:03:52
Honkarakenne Oyj,FI0009900104,0,2013-11-01 13:30:00
ALK-Abelló,DK0060027142,0,2013-11-01 13:42:49
Coloplast A/S,DK0060448595,0,2013-11-01 14:29:04
Technopolis,FI0009006886,0,2013-11-01 14:30:00
CineMedia Film Aktiengesellschaft Geyer-Werke,DE0005433007,0,2013-11-01 15:01:07
United Power Technology AG,DE000A1EMAK2,0,2013-11-01 15:49:52
United Power Technology AG,DE000A1EMAK2,0,2013-11-01 15:49:52
Finnair Oyj,FI0009003230,0,2013-11-01 15:50:00
Peach Property Group AG,CH0118530366,0,2013-11-01 18:00:09
Peach Property Group AG,CH0118530366,0,2013-11-01 18:00:09
Nokia,FI0009000681,0,2013-11-04 08:30:02
C-Rad AB,SE0002016352,0,2013-11-04 08:45:00
Atlantic Petroleum P/F,FO000A0DN9X4,0,2013-11-04 08:47:34
BRFKredit a/s,DK0002100130,0,2013-11-04 08:52:20
Realkredit Danmark A/S,DK0002200435,0,2013-11-04 09:32:47
MOOD AND MOTION AG,DE000A1E9A75,0,2013-11-04 09:58:29
Century Aluminum Company,IS0000014884,0,2013-11-04 10:05:33
Technopolis,FI0009006886,0,2013-11-04 11:15:00
Vestas Wind Systems A/S,DK0010268606,0,2013-11-04 12:12:41
Mare Baltic PCC Limited,DK0003444438,0,2013-11-04 12:20:54
Kuros Biosciences AG,CH0011025217,0,2013-11-04 12:29:09
Kuros Biosciences AG,CH0011025217,0,2013-11-04 12:29:09
Munksjö Oyj,FI4000048418,0,2013-11-04 12:30:00
Totalkredit A/S,DK0004700580,0,2013-11-04 13:18:00
Nykredit Realkredit A/S,DK0002300573,0,2013-11-04 13:18:00
SMA Solar Technology AG,DE000A0DJ6J9,0,2013-11-04 13:43:52
SMA Solar Technology AG,DE000A0DJ6J9,0,2013-11-04 13:43:52
3W Power S.A. / AEG Power Solutions,LU1072910919,0,2013-11-04 13:50:27
3W Power S.A. / AEG Power Solutions,LU1072910919,0,2013-11-04 13:50:27
BRFKredit a/s,DK0002100130,0,2013-11-04 14:36:11
FormPipe Software AB,SE0001338039,0,2013-11-04 14:38:27
Liepajas metalurgs,LV0000100535,0,2013-11-04 17:00:29
Vestas Wind Systems A/S,DK0010268606,0,2013-11-04 17:02:14
Sixt SE,DE0007231326,0,2013-11-04 17:24:08
Sixt SE,DE0007231326,0,2013-11-04 17:24:08
